01-13 11:43:15: Training starting...
01-13 11:43:17: New best reward -7.5 (-100.0%) at episode 0, saving model...
01-13 11:43:17: New best reward -5.1 (-32.0%) at episode 3, saving model...
01-13 11:43:19: New best reward -4.5 (-11.8%) at episode 52, saving model...
01-13 11:43:22: New best reward -3.9 (-13.3%) at episode 171, saving model...
01-13 11:43:24: New best reward -1.5 (-61.5%) at episode 219, saving model...
01-13 11:43:46: New best reward -0.9 (-40.0%) at episode 959, saving model...
01-13 11:43:54: New best reward 0.3 (-133.3%) at episode 1218, saving model...
01-13 11:44:46: New best reward 2.1 (+600.0%) at episode 2514, saving model...
01-13 11:45:23: New best reward 3.9 (+85.7%) at episode 3404, saving model...
01-13 11:49:32: New best reward 4.0 (+2.6%) at episode 9609, saving model...
01-13 11:50:21: New best reward 4.1 (+2.5%) at episode 10560, saving model...
01-13 11:50:43: New best reward 4.2 (+2.4%) at episode 11044, saving model...
01-13 11:52:01: New best reward 4.4 (+4.8%) at episode 13011, saving model...
01-13 11:52:20: New best reward 6.0 (+36.4%) at episode 13404, saving model...
01-13 11:53:23: New best reward 7.2 (+20.0%) at episode 14746, saving model...
01-13 11:57:13: New best reward 8.4 (+16.7%) at episode 19905, saving model...
01-13 11:58:31: New best reward 8.7 (+3.6%) at episode 22077, saving model...
01-13 12:16:33: New best reward 9.1 (+4.6%) at episode 51435, saving model...
01-13 12:16:38: New best reward 11.1 (+22.0%) at episode 51568, saving model...
01-13 12:16:56: New best reward 12.9 (+16.2%) at episode 52119, saving model...
01-13 12:30:05: New best reward 13.3 (+3.1%) at episode 71730, saving model...
01-13 12:30:16: New best reward 23.5 (+76.7%) at episode 72032, saving model...
01-13 12:35:28: New best reward 24.7 (+5.1%) at episode 77797, saving model...
01-13 12:40:04: New best reward 26.9 (+8.9%) at episode 82759, saving model...
01-13 12:41:05: New best reward 33.1 (+23.0%) at episode 84506, saving model...
01-13 12:56:15: New best reward 36.4 (+10.0%) at episode 102962, saving model...
01-13 13:01:57: New best reward 41.1 (+12.9%) at episode 110733, saving model...
01-13 13:08:29: New best reward 41.5 (+1.0%) at episode 116105, saving model...
01-13 13:11:05: New best reward 50.4 (+21.4%) at episode 119349, saving model...
01-13 13:20:12: New best reward 78.4 (+55.6%) at episode 130480, saving model...
