01-15 14:55:13: Training starting...
01-15 14:55:15: New best reward -8.7 (-100.0%) at episode 0, saving model...
01-15 14:55:15: New best reward -6.3 (-27.6%) at episode 1, saving model...
01-15 14:55:15: New best reward -5.1 (-19.0%) at episode 10, saving model...
01-15 14:55:15: New best reward -4.5 (-11.8%) at episode 12, saving model...
01-15 14:55:15: New best reward -3.9 (-13.3%) at episode 16, saving model...
01-15 14:55:16: New best reward -2.1 (-46.2%) at episode 66, saving model...
01-15 14:55:28: New best reward -0.9 (-57.1%) at episode 662, saving model...
01-15 14:55:34: New best reward -0.3 (-66.7%) at episode 960, saving model...
01-15 14:55:34: New best reward 2.1 (-800.0%) at episode 994, saving model...
01-15 14:55:46: New best reward 3.9 (+85.7%) at episode 1583, saving model...
01-15 14:57:25: New best reward 4.1 (+5.1%) at episode 5755, saving model...
01-15 14:59:10: New best reward 4.3 (+4.9%) at episode 9495, saving model...
01-15 14:59:49: New best reward 4.6 (+7.0%) at episode 10737, saving model...
01-15 14:59:50: New best reward 4.9 (+6.5%) at episode 10777, saving model...
01-15 15:01:20: New best reward 6.4 (+30.6%) at episode 13481, saving model...
01-15 15:04:14: New best reward 6.7 (+4.7%) at episode 18479, saving model...
01-15 15:04:19: New best reward 8.9 (+32.8%) at episode 18595, saving model...
01-15 15:06:22: New best reward 10.6 (+19.1%) at episode 21826, saving model...
01-15 15:16:15: New best reward 10.7 (+0.9%) at episode 26804, saving model...
01-15 15:18:20: New best reward 11.2 (+4.7%) at episode 27737, saving model...
01-15 15:28:17: New best reward 11.3 (+0.9%) at episode 31815, saving model...
01-15 15:29:25: New best reward 12.9 (+14.2%) at episode 32446, saving model...
01-15 15:35:32: New best reward 15.2 (+17.8%) at episode 34422, saving model...
